Model,Accuracy,Sensitivity,FPR,Cohen's Kappa,AUC
SVM,0.711864406779661,0.21052631578947367,0.05,0.1956696070569366,0.6368421052631579
DTC,0.576271186440678,0.21052631578947367,0.25,-0.042402826855123754,0.5335526315789474
RF,0.6271186440677966,0.15789473684210525,0.15,0.009160305343511532,0.6736842105263157
LR,0.6101694915254238,0.6842105263157895,0.425,0.22501427755568237,0.65
