Model,Accuracy,Sensitivity,FPR,Cohen's Kappa,AUC
SVM,0.711864406779661,0.10526315789473684,0.0,0.13757523645743763,0.8947368421052633
DTC,0.6779661016949152,0.47368421052631576,0.225,0.25216811207471646,0.7046052631578947
RF,0.711864406779661,0.15789473684210525,0.025,0.1676348547717842,0.8223684210526315
LR,0.6440677966101694,0.3157894736842105,0.2,0.12438162544169606,0.6065789473684211
