Model,Accuracy,Sensitivity,FPR,Cohen's Kappa,AUC
SVM,0.6724137931034483,0.10526315789473684,0.05128205128205128,0.06768189509306266,0.7300944669365722
DTC,0.603448275862069,0.2631578947368421,0.23076923076923078,0.0347322720694645,0.5553306342780028
RF,0.6379310344827587,0.2631578947368421,0.1794871794871795,0.09239940387481371,0.7645074224021593
LR,0.6724137931034483,0.6842105263157895,0.3333333333333333,0.3205918618988902,0.6545209176788125
