Model,Accuracy,Sensitivity,FPR,Cohen's Kappa,AUC
SVM,0.7288135593220338,0.15789473684210525,0.0,0.20270270270270285,0.7934210526315789
DTC,0.6779661016949152,0.42105263157894735,0.2,0.23061084420041178,0.6111842105263158
RF,0.7457627118644068,0.2631578947368421,0.025,0.2902967121090617,0.8111842105263158
LR,0.8305084745762712,0.5789473684210527,0.05,0.5767575322812051,0.8526315789473683
