Model,Accuracy,Sensitivity,FPR,Cohen's Kappa,AUC
SVM,0.6779661016949152,0.10526315789473684,0.05,0.0697095435684647,0.6197368421052631
DTC,0.6440677966101694,0.3157894736842105,0.2,0.12438162544169606,0.5769736842105263
RF,0.6271186440677966,0.15789473684210525,0.15,0.009160305343511532,0.5631578947368422
LR,0.6101694915254238,0.3157894736842105,0.25,0.06863417982155107,0.4671052631578947
