iter	Passed	Remaining
230	63972	74495
231	64211	74175
232	64434	73836
233	64655	73497
234	64889	73173
235	65113	72838
236	65317	72483
237	65546	72156
238	65761	71814
239	65994	71493
240	66270	71219
241	66506	70903
242	66762	70609
243	67007	70302
244	67228	69972
245	67487	69682
246	67737	69382
247	67970	69066
248	68194	68742
249	68467	68467
250	68703	68156
251	68962	67868
252	69187	67546
253	69438	67251
254	69677	66944
255	69921	66643
256	70186	66362
257	70463	66093
258	70734	65818
259	70969	65510
260	71231	65227
261	71475	64928
262	71717	64627
263	71958	64326
264	72201	64027
265	72473	63754
266	72751	63486
267	73029	63219
268	73290	62936
269	73547	62651
270	73769	62336
271	74007	62036
272	74241	61732
273	74471	61425
274	74703	61121
275	74915	60801
276	75167	60514
277	75431	60236
278	75668	59938
279	75944	59670
280	76168	59362
281	76405	59065
282	76611	58744
283	76834	58437
284	77103	58165
285	77356	57882
286	77576	57574
287	77797	57267
288	78019	56962
289	78245	56660
290	78474	56361
291	78692	56054
292	78909	55748
293	79116	55435
294	79338	55133
295	79559	54831
296	79782	54531
297	80009	54234
298	80222	53928
299	80443	53629
300	80674	53336
301	80897	53038
302	81119	52741
303	81343	52445
304	81559	52144
305	81780	51847
306	82001	51551
307	82259	51278
308	82498	50994
309	82730	50705
310	82962	50417
311	83209	50139
312	83458	49862
313	83723	49594
314	83973	49317
315	84204	49030
316	84459	48757
317	84736	48496
318	84986	48220
319	85229	47941
320	85488	47671
321	85738	47395
322	85994	47123
323	86259	46857
324	86572	46616
325	86840	46350
326	87095	46077
327	87335	45798
328	87556	45508
329	87787	45223
330	88010	44935
331	88267	44665
332	88553	44409
333	88825	44146
334	89067	43869
335	89280	43577
336	89523	43300
337	89762	43022
338	90004	42745
339	90244	42468
340	90488	42192
341	90732	41917
342	90978	41643
343	91230	41371
344	91461	41091
345	91696	40812
346	91931	40534
347	92166	40256
348	92412	39983
349	92635	39701
350	92881	39428
351	93168	39173
352	93404	38896
353	93608	38607
354	93836	38327
355	94052	38043
356	94276	37763
357	94500	37483
358	94718	37201
359	94939	36920
360	95145	36635
361	95356	36351
362	95582	36073
363	95794	35791
364	96035	35520
365	96287	35252
366	96499	34971
367	96723	34694
368	96942	34415
369	97163	34138
370	97413	33871
371	97636	33595
372	97851	33316
373	98098	33049
374	98379	32793
375	98638	32529
376	98876	32259
377	99122	31991
378	99381	31728
379	99618	31458
380	99875	31194
381	100133	30931
382	100392	30668
383	100651	30405
384	100886	30135
385	101123	29865
386	101357	29595
387	101608	29330
388	101877	29070
389	102130	28806
390	102387	28542
391	102632	28276
392	102872	28008
393	103118	27742
394	103348	27472
395	103589	27205
396	103854	26944
397	104115	26682
398	104412	26430
399	104647	26161
400	104891	25895
401	105125	25627
402	105350	25357
403	105595	25091
404	105833	24825
405	106075	24559
406	106307	24291
407	106540	24023
408	106821	23767
409	107043	23497
410	107268	23228
411	107522	22966
412	107767	22701
413	108008	22436
414	108240	22169
415	108473	21903
416	108698	21635
417	108917	21366
418	109200	21110
419	109460	20849
420	109695	20584
421	109913	20315
422	110125	20046
423	110345	19778
424	110573	19512
425	110805	19247
426	111026	18981
427	111244	18714
428	111458	18446
429	111669	18178
430	111882	17911
431	112110	17647
432	112323	17380
433	112544	17115
434	112749	16847
435	112973	16583
436	113188	16317
437	113406	16052
438	113626	15788
439	113852	15525
440	114103	15265
441	114363	15007
442	114595	14744
443	114839	14484
444	115065	14221
445	115331	13963
446	115581	13704
447	115813	13442
448	116056	13182
449	116280	12920
450	116499	12657
451	116735	12396
452	117012	12140
453	117258	11880
454	117503	11621
455	117741	11361
456	117980	11101
457	118222	10841
458	118504	10585
459	118773	10328
460	119033	10070
461	119266	9809
462	119503	9549
463	119757	9291
464	119987	9031
465	120203	8770
466	120447	8511
467	120686	8252
468	120955	7994
469	121216	7737
470	121495	7480
471	121774	7223
472	122004	6964
473	122240	6705
474	122478	6446
475	122697	6186
476	122936	5927
477	123189	5669
478	123474	5413
479	123722	5155
480	123953	4896
481	124203	4638
482	124442	4379
483	124680	4121
484	124906	3863
485	125110	3604
486	125356	3346
487	125653	3089
488	125871	2831
489	126088	2573
490	126297	2315
491	126498	2056
492	126720	1799
493	126942	1541
494	127158	1284
495	127366	1027
496	127571	770
497	127795	513
498	128033	256
499	128244	0
