iter	Logloss
112	0.3585137519
113	0.3572452329
114	0.3554942872
115	0.35312236
116	0.3518078794
117	0.3503163612
118	0.3493287898
119	0.3471009957
120	0.3453428024
121	0.3432637456
122	0.3418596635
123	0.3406913738
124	0.3392317282
125	0.3378364354
126	0.3365764988
127	0.3354381954
128	0.3336248681
129	0.3323843911
130	0.3306625907
131	0.3292952557
132	0.327273345
133	0.3258147865
134	0.3243411953
135	0.3225342087
136	0.3207153816
137	0.3195412281
138	0.3179801844
139	0.3170412489
140	0.3156005582
141	0.314302929
142	0.3126884628
143	0.3112317453
144	0.309880691
145	0.3088785532
146	0.3077874512
147	0.3065515731
148	0.3053075513
149	0.3038812637
150	0.3027765964
151	0.3014112511
152	0.299964129
153	0.2990710284
154	0.2983028109
155	0.2972796356
156	0.2962392749
157	0.2951911237
158	0.2942658676
159	0.2930462592
160	0.2913896999
161	0.290007849
162	0.2888526781
163	0.2874326139
164	0.2859735212
165	0.2848990112
166	0.2834074252
167	0.2819388854
168	0.2806754364
169	0.2798874765
170	0.2788211874
171	0.277850894
172	0.2768154918
173	0.2760925132
174	0.2747251981
175	0.2736685186
176	0.2721616648
177	0.2710287945
178	0.2702440378
179	0.2689171263
180	0.2681582084
181	0.2671805652
182	0.2662309363
183	0.2650030336
184	0.2639615851
185	0.2626650314
186	0.2619153126
187	0.2608160831
188	0.2595491596
189	0.2585587076
190	0.2575113818
191	0.2567173417
192	0.2557741056
193	0.2550405386
194	0.2539173545
195	0.2529303048
196	0.2520690493
197	0.2511762007
198	0.2500262454
199	0.2491475763
200	0.2479662496
201	0.2471538705
202	0.2463383333
203	0.2453760044
204	0.2445923348
205	0.2436605673
206	0.242612175
207	0.2416712052
208	0.2409536168
209	0.2393916278
210	0.2386286059
211	0.237542233
212	0.2360669246
213	0.2351068922
214	0.2342688767
215	0.233548464
216	0.2331626609
217	0.232024457
218	0.2312484657
219	0.2299881188
220	0.2290370542
221	0.2281405674
222	0.2271395606
223	0.2262643015
224	0.225598439
225	0.2248434151
226	0.2241035197
227	0.2235541576
228	0.2227842808
229	0.2219983481
230	0.2211814075
231	0.2201588366
232	0.2196655003
233	0.2186428843
234	0.2176791004
235	0.2166228236
236	0.2159880251
237	0.2152437358
238	0.2144599412
239	0.2137443079
240	0.2130324763
241	0.2125809547
242	0.2115859773
243	0.2107746169
244	0.2101798
245	0.2095063338
246	0.2087974439
247	0.2079283489
248	0.2071923965
249	0.2062529074
250	0.2056189827
251	0.2049854569
252	0.204227403
253	0.2037088671
254	0.2028502084
255	0.2020534606
256	0.2010210475
257	0.200378561
258	0.1995597343
259	0.1987142814
260	0.1980720108
261	0.1974217499
262	0.1967609605
263	0.1961351549
264	0.1951065991
265	0.1942823326
266	0.1938621237
267	0.1931154219
268	0.192422236
269	0.1915086907
270	0.1911047588
271	0.1902748179
272	0.1895987188
273	0.1886498529
274	0.1878653868
275	0.1872215761
276	0.1868617187
277	0.1861836704
278	0.1855231292
279	0.1849432108
280	0.1842016188
281	0.1833386705
282	0.1827168626
283	0.1820867171
284	0.1816089682
285	0.180675321
286	0.1801016009
287	0.1793405075
288	0.1785339942
289	0.1778863707
290	0.1771915913
291	0.176594856
292	0.1760850326
293	0.175346323
294	0.1749680519
295	0.1745048819
296	0.174033163
297	0.1734819921
298	0.1726599352
299	0.1721318851
300	0.1713382901
301	0.1708557342
302	0.1702573209
303	0.1696188669
304	0.1691203581
305	0.1685526017
306	0.1678409699
307	0.1673039404
308	0.1667850069
309	0.1664153389
310	0.1660228729
311	0.1655590141
312	0.1645886975
313	0.1640847812
314	0.1633579357
315	0.1629405499
316	0.162262113
317	0.1616753488
318	0.1610975671
319	0.1605785048
320	0.1599424104
321	0.1593956986
322	0.1589354696
323	0.1580743229
324	0.1575103521
325	0.156895624
326	0.1563208748
327	0.1557866438
328	0.1553107932
329	0.1550081169
330	0.1545207539
331	0.1539929583
332	0.1535097973
333	0.1529907233
334	0.152600376
335	0.151930858
336	0.1514935919
337	0.1511103617
338	0.1502891167
339	0.1497430105
340	0.1492322999
341	0.1485448019
342	0.1482663354
343	0.1476999347
344	0.1473234074
345	0.1468779061
346	0.146470289
347	0.1459999826
348	0.1453325819
349	0.1448459432
350	0.1444888321
351	0.1438915356
352	0.1435643145
353	0.1430696732
354	0.1425188374
355	0.1421280436
356	0.1416391837
357	0.14109187
358	0.1407311169
359	0.1404664091
360	0.1400250448
361	0.1396718863
362	0.1391158413
363	0.1388350113
364	0.1383076371
365	0.1380208428
366	0.137701657
367	0.1373065394
368	0.1369125817
369	0.1364241768
370	0.1358074575
371	0.1354389023
372	0.1351919187
373	0.134733914
374	0.1343497818
375	0.1339501458
376	0.133560209
377	0.1331106237
378	0.1326658404
379	0.1322056062
380	0.1320221489
381	0.1316579445
382	0.1313126899
383	0.1309879148
384	0.1306075264
385	0.1302022534
386	0.1296218369
387	0.1294015987
388	0.1289552276
389	0.1286835632
390	0.1283136342
391	0.1279621962
392	0.1273554054
393	0.1270612588
394	0.1266081333
395	0.1262684023
396	0.1258826965
397	0.1254538072
398	0.1250597142
399	0.1247206649
400	0.1244095622
401	0.1237307909
402	0.1234390336
403	0.1230495517
404	0.1227293685
405	0.122438695
406	0.1220836949
407	0.1218133282
408	0.1213488385
409	0.1210328038
410	0.1205751084
411	0.1200926948
412	0.1195640577
413	0.1192146121
414	0.1189175876
415	0.1185899928
416	0.118242586
417	0.1178692818
418	0.117503759
419	0.1171679535
420	0.1168694909
421	0.1166269779
422	0.1161996816
423	0.1159034136
424	0.1156166992
425	0.1151228222
426	0.1148998428
427	0.1145838029
428	0.1140758373
429	0.1137097281
430	0.1133453666
431	0.1128926586
432	0.1125954332
433	0.1122457839
434	0.1118412752
435	0.1116307594
436	0.1113042496
437	0.111093275
438	0.1107549023
439	0.1104266721
440	0.1101682495
441	0.1098229576
442	0.1094720145
443	0.1090487235
444	0.1087517687
445	0.1083640859
446	0.1078468465
447	0.1075509587
448	0.1071961261
449	0.1068992009
450	0.1066039562
451	0.1062929089
452	0.1061193105
453	0.1058329788
454	0.1055825672
455	0.1051482626
456	0.104688714
457	0.1044927082
458	0.1042811664
459	0.1040498888
460	0.1037974486
461	0.1033514242
462	0.1030932826
463	0.1029064565
464	0.1025976568
465	0.1021766147
466	0.1017988437
467	0.1013841474
468	0.1010048944
469	0.1007823313
470	0.1005990711
471	0.1002923231
472	0.09993985666
473	0.09950651091
474	0.09933842582
475	0.09895846006
476	0.09872294117
477	0.09840396031
478	0.09802673056
479	0.09766873153
480	0.0972960485
481	0.09708033897
482	0.0966591951
483	0.0962171503
484	0.09581394582
485	0.09531314437
486	0.09506833876
487	0.0947442712
488	0.09447232968
489	0.09414342545
490	0.09380335035
491	0.09352916769
492	0.09315297153
493	0.09296560932
494	0.0927876073
495	0.09258642454
496	0.09234646849
497	0.09200582375
498	0.0916190083
499	0.09140956982
