iter	Logloss
0	0.6887572717
1	0.6833463441
2	0.6794665628
3	0.6732966506
4	0.6696673948
5	0.6637898137
6	0.6599467306
7	0.6558554318
8	0.6495800446
9	0.6448287893
10	0.6402816063
11	0.6349525517
12	0.6309866208
13	0.6260065884
14	0.6223527886
15	0.6184645393
16	0.6144650546
17	0.6110715744
18	0.6069113756
19	0.6025909149
20	0.5982081072
21	0.5941665799
22	0.5903871857
23	0.5879559732
24	0.5840292277
25	0.5808213843
26	0.5774511223
27	0.5739925741
28	0.5692742601
29	0.5662276276
30	0.5626425667
31	0.5593393869
32	0.5555029023
33	0.5519551106
34	0.5474974674
35	0.5442858077
36	0.5413243055
37	0.5387102359
38	0.5342121066
39	0.5313871993
40	0.529230734
41	0.5253357141
42	0.5216398313
43	0.5183149227
44	0.5147899272
45	0.5122040542
46	0.5090858788
47	0.5069661964
48	0.5043953448
49	0.5006770648
50	0.4978817597
51	0.4950029592
52	0.4920872777
53	0.4890298133
54	0.4867375897
55	0.4838128613
56	0.4809851084
57	0.4780319236
58	0.4745407649
59	0.4714482246
60	0.468633337
61	0.4654469084
62	0.463386276
63	0.4608980311
64	0.4575345629
65	0.4547380886
66	0.4520503063
67	0.449725183
68	0.4474912092
69	0.4448368717
70	0.4431592674
71	0.4405784001
72	0.4374002199
73	0.4345000596
74	0.4323021766
75	0.4298408908
76	0.4275047463
77	0.4259693867
78	0.4236623229
79	0.4217265525
80	0.4199714616
81	0.4177049444
82	0.4159976273
83	0.4145502619
84	0.4127128124
85	0.4103088933
86	0.4083148844
87	0.4050577853
88	0.4031859559
89	0.4009207403
90	0.3988317931
91	0.3971138226
92	0.3955377856
93	0.3935184985
94	0.3916700447
95	0.3894559197
96	0.3874117049
97	0.3855191447
98	0.3840275062
99	0.3818715505
100	0.3806091744
101	0.3788180464
102	0.3765101162
103	0.3746465132
104	0.3728711119
105	0.3712456565
106	0.3695816572
107	0.3678435522
108	0.366086918
109	0.3638452063
110	0.3622896588
111	0.3605265257
